NoteId,Content,OwnerType,OwnerName,Story,Chapter,ChapterOrder,PlotPointId,OrderInChapter,LinkId,SubjectId,NoteState,Words,Shingles,Coverage,TokenCoverage,Label,Role,OriginLayer,OriginId,OriginDate,OriginShare,Sources,LongestRun,Tie,PlanFirst,EchoedBy,EchoCandidate,FirstSnapshot,OriginPassage,UncoveredText,SourceWindow,SourcePrompt,MatchedSpans
1,The whole chapter is a conversation between the princesses and Twilight/Applejack plus the other mane 6?,Chapter,Stagnation,The Lioness of Tall Tale,CH#22 Stagnation,22,0,0,0,0,open,17,12,0.000,0.000,none,,,,,,,0,false,false,,false,TheLionessOfTallTale 2026-01-05.db,,,,,
2,Applejack and friends return from Griffonia and begin campaigning for a referendum,Chapter,Equity,The Lioness of Tall Tale,CH#27 Equity,27,0,0,0,0,open,12,7,0.000,0.000,none,,,,,,,0,false,false,,false,TheLionessOfTallTale 2025-12-26.db,,,,,
3,Twilight and Fleur study the love harvester with help from Fluttershy and a POW friend. Fluttershy establishes the animal spy network. They have animals go deep into Vanhoover to eavesdrop more info on the love harvester?,Chapter,Extraction,The Lioness of Tall Tale,CH#10 Extraction,10,0,0,0,0,open,36,31,0.097,0.278,fragment,brian,gemini,gemini:2282,2026-03-01,0.67,gemini:2282/brian×2;gemini:619/brian×1,10,false,false,,false,TheLionessOfTallTale 2025-12-26.db,Twilight and Fleur study the love harvester,Fluttershy and a POW friend. Fluttershy establishes the animal spy network. They have animals go deep into Vanhoover to eavesdrop more info on the love harvester,"…think I'll stick with high purity crystal power for the engine and keep the brass phosphorus ammo 

The crystals that are high purity enough for stable magical flow are incredibly rare to mine and costly to refine

Only when Twilight and Fleur study the love harvester so they get a stable and abundant source of magical engineering via donations for weapons which can drop in replace the mined high grade crystals",,
4,"This chapter is a separate short story to be read after the main story, going through the Mane 6 from the moment TLTT diverges sharply from canon FiM - starting with The Battle of Mount Aris",Chapter,Prequel,Prequel — Battle of Mount Aris,CH#1 Prequel,1,0,0,0,0,open,35,30,0.000,0.000,none,,,,,,,0,false,false,,false,TheLionessOfTallTale 2026-04-10.db,,,,,
5,I will write this out first so that I understand how Twilight and Applejack are deeply affected by the shattering of the nursery so that when I write the start of TLTT their character voices and worldview are accurate to what needs to be the case to deliver the story,Chapter,Prequel,Prequel — Battle of Mount Aris,CH#1 Prequel,1,0,0,0,0,open,50,45,0.000,0.000,none,,,,,,,0,false,false,,false,TheLionessOfTallTale 2026-04-10.db,,,,,
6,"This short story demonstrates the shattering of the nursery, then adapting and coming out feeling better ahead of the great war, only for it to be shattered again at the start of TLTT
Applejack comes out as a general but still sheltered from the true industrial horror.
Twilight comes out with a working marvel of magical engineering but still with a top down charity mentality.
Rainbow Dash has no delusions but bottles up the true horrors of the world to shield her friends' innocence.",Chapter,Prequel,Prequel — Battle of Mount Aris,CH#1 Prequel,1,0,0,0,0,open,84,79,0.000,0.000,none,,,,,,,0,false,false,,false,TheLionessOfTallTale 2026-04-10.db,,,,,
7,"Her story arc is about stepping up to leadership to not be a poseur, and then learning from Kemerskai that honesty is not enough; a healthy amount of posture is required for a balance to be an effective statesmare and change the world for good.",Subject,Applejack,,,0,0,0,0,1,closed,45,40,0.625,0.778,framed-paste,brian,gemini,gemini:3117,2026-04-08,0.40,gemini:3117/model×10;gemini:2884/model×8;gemini:2260/model×7,22,false,true,gemini:3117,false,TheLionessOfTallTale 2025-12-27.db,for a balance to be an effective statesmare,and change the world for good,"…of the Equestrian Republic, it becomes the defining arc of Applejack's political career.

Based on your TLTT lore bible (specifically the note that Applejack learns from Kemerskai that *""honesty is not enough; a healthy amount of posture is required for a balance to be an effective statesmare""*), we can formally map Applejack’s evolution in TLTT into three distinct political stages, all rooted in that original micro-development:

### Stage 1: The Warlord’s ""Hard Truth"" (The Spike Paradigm)

During the early years of the Great War, Applejack operates…",This little micro character development for Applejack (telling rarity to be blunt and then realizing she it's hard when rejecting Trenderhoof) that I planned as a side detail of a canon FiM setting st…,10-72:gemini:2884;87-128:gemini:3117;130-169:gemini:2260;170-213:gemini:3117
8,"Earth pony from Pridea. Grew up on a farm but didn’t find farming fun, although her family told her to be grateful they own their land for a living and are not serfs. Her parents were minor supporters of Dennis Discret. Fleur visited the University of Pridea on a whim and met griffon researchers who were studying earth pony magic’s effect on agriculture (it was taboo to work on pony development until Colbert reforms were introduced to pacify the nation). She became a research associate and later a revolutionary when their studies were banned by the noblegriffs. Coltbert was her mentor who founded the University of Pridea. Joined Star Energy Corporation early on to apply the university’s research in Tall Tale, Equestria. Staunch proponent of harmonic republicanism to regulate capitalism. Curious and optimistic is her nature, and she loves educating others, like Twilight",Subject,Fleur Bloom,,,0,0,0,0,7,open,146,141,1.000,1.000,verbatim,brian,gemini,gemini:144,2025-12-04,1.00,gemini:144/brian×141,146,false,false,,false,TheLionessOfTallTale 2026-01-05.db,"Earth pony from Pridea. Grew up on a farm but didn’t find farming fun, although her family told her to be grateful they own their land for a living and are not serfs. Her parents were minor supporters of Dennis Discret. Fleur visited the University of Pridea on a whim and met griffon researchers who…",,"…magic, which is farming, and also works on digging trenches. Earth pony magic was not known to even be explicit magic until the University of Pridea studied it, pioneered by Fleur Bloom and Coltbert.

Here is her bio:
Fleur Bloom - Earth pony from Pridea. Grew up on a farm but didn’t find farming fun, although her family told her to be grateful they own their land for a living and are not serfs. Her parents were minor supporters of Dennis Discret. Fleur visited the University of Pridea on a whim and met griffon researchers who were studying earth pony magic’s effect on agriculture (it was taboo to work on pony development until Colbert reforms were introduced to pacify the nation). She became a research associate and later a revolutionary when their studies were banned by the noblegriffs. Coltbert was her mentor who founded the University of Pridea. Joined Star Energy Corporation early on to apply the university’s research in Tall Tale, Equestria. Staunch proponent of harmonic republicanism to regulate capitalism. Curious and optimistic is her nature, and she loves educating others, like Twilight

The principle of magic scaling with pride and ownership only applies to earth ponies. I also want to tie it into honesty, like ""it ain't much but it's honest work"" manifested as magic. Earth pony magic basically functions as…",,
9,A conscript who attacked Hans Kessel and Fluttershy rehabs,Subject,Friedrich,,,0,0,0,0,24,closed,9,4,0.000,0.000,none,,,,,,,0,false,false,,false,TheLionessOfTallTale 2026-01-30.db,,,,,
10,A bauleiter who fell from grace,Subject,Hans Kessel,,,0,0,0,0,25,closed,6,1,0.000,0.000,none,,,,,,,0,false,false,,false,TheLionessOfTallTale 2026-01-30.db,,,,,
